INFO:root:Directory output/GC7M created, training output will be saved here
INFO:root:Copied config file!
INFO:root:Copied the Generator and Discriminator files
INFO:root:Data size is 974677 images
INFO:root:Is GPU available? True
INFO:root:Starting Training Loop...
INFO:root:[0/1000][2750/7615]	Loss_D: 0.3345	Loss_G: 2.9298	D(x): 0.7802	D(G(z)): 0.0318 / 0.0826	Time: 60.73s
INFO:root:[0/1000][2800/7615]	Loss_D: 0.2768	Loss_G: 4.8562	D(x): 0.9445	D(G(z)): 0.1828 / 0.0114	Time: 61.12s
INFO:root:[0/1000][2850/7615]	Loss_D: 0.2631	Loss_G: 5.3492	D(x): 0.9615	D(G(z)): 0.1667 / 0.0078	Time: 62.78s
INFO:root:[0/1000][2900/7615]	Loss_D: 0.7030	Loss_G: 6.2110	D(x): 0.8793	D(G(z)): 0.3729 / 0.0034	Time: 61.15s
INFO:root:[0/1000][2950/7615]	Loss_D: 0.6618	Loss_G: 2.3507	D(x): 0.6480	D(G(z)): 0.0664 / 0.1675	Time: 59.85s
INFO:root:[0/1000][3000/7615]	Loss_D: 0.2947	Loss_G: 4.6854	D(x): 0.9292	D(G(z)): 0.1789 / 0.0158	Time: 63.17s
INFO:root:[0/1000][3050/7615]	Loss_D: 0.2145	Loss_G: 3.8152	D(x): 0.9105	D(G(z)): 0.0937 / 0.0326	Time: 61.70s
INFO:root:[0/1000][3100/7615]	Loss_D: 0.3732	Loss_G: 4.7956	D(x): 0.9537	D(G(z)): 0.2519 / 0.0133	Time: 59.90s
INFO:root:[0/1000][3150/7615]	Loss_D: 0.7192	Loss_G: 5.5481	D(x): 0.9042	D(G(z)): 0.3630 / 0.0077	Time: 60.19s
INFO:root:[0/1000][3200/7615]	Loss_D: 0.2801	Loss_G: 4.2405	D(x): 0.9487	D(G(z)): 0.1828 / 0.0208	Time: 64.19s
INFO:root:[0/1000][3250/7615]	Loss_D: 2.3239	Loss_G: 1.2530	D(x): 0.2074	D(G(z)): 0.0074 / 0.4327	Time: 60.36s
