INFO:root:Directory output/3CK2 created, training output will be saved here
INFO:root:Copied config file!
INFO:root:Copied the Generator and Discriminator files
INFO:root:Data size is 974677 images
INFO:root:Is GPU available? True
INFO:root:Starting Training Loop...
INFO:root:[0/1000][4950/7615]	Loss_D: 0.3935	Loss_G: 3.2906	D(x): 0.8232	D(G(z)): 0.1476 / 0.0602	Time: 75.55s
INFO:root:[0/1000][5000/7615]	Loss_D: 0.4245	Loss_G: 4.5944	D(x): 0.8875	D(G(z)): 0.2197 / 0.0187	Time: 75.44s
INFO:root:[0/1000][5050/7615]	Loss_D: 0.4477	Loss_G: 4.4044	D(x): 0.8497	D(G(z)): 0.1968 / 0.0226	Time: 75.34s
INFO:root:[0/1000][5100/7615]	Loss_D: 0.7444	Loss_G: 1.8510	D(x): 0.5833	D(G(z)): 0.0345 / 0.2396	Time: 75.33s
INFO:root:[0/1000][5150/7615]	Loss_D: 0.7941	Loss_G: 5.8358	D(x): 0.8817	D(G(z)): 0.4118 / 0.0071	Time: 75.31s
INFO:root:[0/1000][5200/7615]	Loss_D: 0.4264	Loss_G: 3.5581	D(x): 0.8347	D(G(z)): 0.1748 / 0.0476	Time: 75.45s
INFO:root:[0/1000][5250/7615]	Loss_D: 1.2178	Loss_G: 7.3104	D(x): 0.9785	D(G(z)): 0.6348 / 0.0016	Time: 75.35s
INFO:root:[0/1000][5300/7615]	Loss_D: 1.1680	Loss_G: 0.4224	D(x): 0.4184	D(G(z)): 0.0115 / 0.6998	Time: 75.42s
INFO:root:[0/1000][5350/7615]	Loss_D: 0.3791	Loss_G: 3.6695	D(x): 0.8833	D(G(z)): 0.2032 / 0.0371	Time: 75.51s
INFO:root:[0/1000][5400/7615]	Loss_D: 0.2942	Loss_G: 2.9940	D(x): 0.8924	D(G(z)): 0.1436 / 0.0803	Time: 75.51s
INFO:root:[0/1000][5450/7615]	Loss_D: 0.2852	Loss_G: 3.8042	D(x): 0.8908	D(G(z)): 0.1352 / 0.0362	Time: 75.52s
INFO:root:[0/1000][5500/7615]	Loss_D: 0.6316	Loss_G: 1.4057	D(x): 0.6468	D(G(z)): 0.0932 / 0.3155	Time: 75.32s
